Probeset	Gene	Type	SP4plus 1	SP4plus 2	SP8plus 1	SP8plus 2
39817_s_at	DNPH1	other	519.53	582.34	643.83	344.25
39835_at	SBF1	other	629.9	505.37	1290.2	395.64
39854_r_at	PNPLA2	other	957.12	836.62	1264.8	635.96
39891_at	ZNF710	other	251.19	216.21	289.82	142.85
39966_at	CSPG5	other	216.05	180.07	242.48	133.44
40016_g_at	MAST4	other	571.38	473.17	671.48	236.39
40020_at	CELSR3	other	232.89	199	298.15	155.13
40093_at	BCAM	immunity	218.64	177.51	250.78	127.96
40148_at	APBB2	other	135.84	107.96	151.43	88.2
40149_at	SH2B1	other	417.11	378.17	616.08	231.5
40189_at	SET /// SETSIP	other	785.78	884.68	1166.1	620.5
40225_at	GAK	other	792.41	750.45	1251.4	498.52
40255_at	DDX28	other	257.72	240.29	324.25	157.29
40273_at	SPHK2	other	347.03	295.73	486.63	206.9
40284_at	FOXA2	other	143.37	114.59	158.43	89.487
40359_at	RASSF7	other	729.74	656.6	891.21	415.6
40420_at	STK10	other	489.33	581.29	1013.6	409.01
40446_at	PHF1	other	1004	863.04	1469	570.83
40465_at	DDX23	other	395.99	405.83	593.93	271.33
40472_at	LPCAT4	other	270.35	242.62	383.66	179.86
40489_at	ATN1	other	270.62	230.16	299.53	145.7
40524_at	PTPN21	other	131.4	105.08	139.87	80.061
40560_at	TBX2	other	233.9	203.33	282.72	151.38
40562_at	GNA11	other	186.98	172.56	206.59	107.16
40569_at	MZF1	other	382.23	397.77	592.36	302.25
40612_at	DOPEY1	other	161.71	146.19	192.19	106.22
40640_at	NCAPH2	other	300.61	256.15	358.26	187.03
40665_at	FMO3	other	107.81	85.095	112.57	69.141
40687_at	GJA4	other	178.64	141.37	196.35	103.51
40829_at	WDTC1	other	443.56	426.89	593.43	289.28
40837_at	TLE2	other	300.68	285.94	397.71	187.32
40850_at	FKBP8	other	442.1	388.76	575.82	268.34
41037_at	TEAD4	other	133.26	106.46	147.35	86.121
41047_at	C9orf16	other	1003.5	1103.8	1707.9	840.72
41113_at	ZNF500	other	236.28	188.74	330.03	136.16
41160_at	MBD3	other	575.38	616.61	834.64	418.55
41220_at	SEPT9	other	2035.3	2020.6	3090.8	1306.5
